N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
1,63,BAR0001,TET2PA,271,BAR.0.1.11.63,Tetragastris,Tetragastris panamensis,Burseraceae
2,69,BAR0002,TET2PA,351,BAR.0.1.11.69,Tetragastris,Tetragastris panamensis,Burseraceae
3,80,BAR0003,TET2PA,371,BAR.0.1.11.80,Tetragastris,Tetragastris panamensis,Burseraceae
4,82,BAR0004,TET2PA,390,BAR.0.1.11.82,Tetragastris,Tetragastris panamensis,Burseraceae
5,85,BAR0005,EUGENE,362,BAR.0.1.11.85,Eugenia,Eugenia nesiotica,Myrtaceae
6,91,BAR0006,TET2PA,342,BAR.0.1.11.91,Tetragastris,Tetragastris panamensis,Burseraceae
7,95,BAR0007,FARAOC,311,BAR.0.1.11.95,Faramea,Faramea occidentalis,Rubiaceae
8,96,BAR0008,POUTRE,411,BAR.0.1.11.96,Pouteria,Pouteria reticulata,Sapotaceae
9,99,BAR0009,EUGENE,353,BAR.0.1.11.99,Eugenia,Eugenia nesiotica,Myrtaceae
10,152,BAR0010,TET2PA,336,BAR.0.1.11.152,Tetragastris,Tetragastris panamensis,Burseraceae
11,156,BAR0011,EUGENE,426,BAR.0.1.11.156,Eugenia,Eugenia nesiotica,Myrtaceae
12,157,BAR0012,EUGENE,290,BAR.0.1.11.157,Eugenia,Eugenia nesiotica,Myrtaceae
13,162,BAR0013,EUGENE,358,BAR.0.1.11.162,Eugenia,Eugenia nesiotica,Myrtaceae
14,29,BAR0014,TET2PA,561,BAR.0.1.21.29,Tetragastris,Tetragastris panamensis,Burseraceae
15,30,BAR0015,TET2PA,411,BAR.0.1.21.30,Tetragastris,Tetragastris panamensis,Burseraceae
16,31,BAR0016,TET2PA,322,BAR.0.1.21.31,Tetragastris,Tetragastris panamensis,Burseraceae
17,33,BAR0017,TET2PA,270,BAR.0.1.21.33,Tetragastris,Tetragastris panamensis,Burseraceae
18,36,BAR0018,CAPPFR,470,BAR.0.1.21.36,Capparidastrum,Capparidastrum frondosum,Capparaceae
19,42,BAR0019,TET2PA,403,BAR.0.1.21.42,Tetragastris,Tetragastris panamensis,Burseraceae
20,44,BAR0020,TET2PA,599,BAR.0.1.21.44,Tetragastris,Tetragastris panamensis,Burseraceae
21,78,BAR0021,TET2PA,342,BAR.0.1.21.78,Tetragastris,Tetragastris panamensis,Burseraceae
22,86,BAR0022,TET2PA,341,BAR.0.1.21.86,Tetragastris,Tetragastris panamensis,Burseraceae
23,100,BAR0023,RINOSY,921,BAR.0.1.21.100,Rinorea,Rinorea sylvatica,Violaceae
24,114,BAR0024,CAPPFR,361,BAR.0.1.21.114,Capparidastrum,Capparidastrum frondosum,Capparaceae
25,121,BAR0025,MOURMY,872,BAR.0.1.21.121,Mouriri,Mouriri myrtilloides,Melastomataceae
26,28,BAR0026,PSYCIP,203,BAR.0.1.24.28,Psychotria,Psychotria ciprianiana,Rubiaceae
27,32,BAR0027,SWARS2,633,BAR.0.1.24.32,Swartzia,Swartzia simplex var. continentalis,Fabaceae
28,46,BAR0028,PSYCIP,500,BAR.0.1.24.46,Psychotria,Psychotria ciprianiana,Rubiaceae
29,68,BAR0029,TET2PA,362,BAR.0.1.31.68,Tetragastris,Tetragastris panamensis,Burseraceae
30,88,BAR0030,CAPPFR,412,BAR.0.1.31.88,Capparidastrum,Capparidastrum frondosum,Capparaceae
31,94,BAR0031,CAPPFR,279,BAR.0.1.31.94,Capparidastrum,Capparidastrum frondosum,Capparaceae
32,112,BAR0032,TET2PA,750,BAR.0.1.31.112,Tetragastris,Tetragastris panamensis,Burseraceae
33,177,BAR0033,CONNTU,320,BAR.0.1.31.177,Connarus,Connarus turczaninowii,Connaraceae
34,83,BAR0034,RINOSY,750,BAR.0.1.32.83,Rinorea,Rinorea sylvatica,Violaceae
35,142,BAR0035,TET2PA,203,BAR.0.1.32.142,Tetragastris,Tetragastris panamensis,Burseraceae
36,175,BAR0036,TET2PA,715,BAR.0.1.32.175,Tetragastris,Tetragastris panamensis,Burseraceae
37,72,BAR0037,TET2PA,282,BAR.0.1.33.72,Tetragastris,Tetragastris panamensis,Burseraceae
38,154,BAR0038,TET2PA,280,BAR.0.1.33.154,Tetragastris,Tetragastris panamensis,Burseraceae
39,164,BAR0039,ACACHA,423,BAR.0.1.33.164,Senegalia,Senegalia hayesii,Fabaceae
40,165,BAR0040,ACACHA,822,BAR.0.1.33.165,Senegalia,Senegalia hayesii,Fabaceae
41,166,BAR0041,TET2PA,418,BAR.0.1.33.166,Tetragastris,Tetragastris panamensis,Burseraceae
42,97,BAR0042,ACACHA,612,BAR.0.1.34.97,Senegalia,Senegalia hayesii,Fabaceae
43,153,BAR0043,ACACHA,565,BAR.0.1.34.153,Senegalia,Senegalia hayesii,Fabaceae
44,155,BAR0044,SWARS1,219,BAR.0.1.34.155,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
45,30,BAR0045,GUSTSU,225,BAR.0.1.41.30,Gustavia,Gustavia superba,Lecythidaceae
46,32,BAR0046,TET2PA,571,BAR.0.1.41.32,Tetragastris,Tetragastris panamensis,Burseraceae
47,55,BAR0047,POUTRE,532,BAR.0.1.41.55,Pouteria,Pouteria reticulata,Sapotaceae
48,56,BAR0048,RINOSY,781,BAR.0.1.41.56,Rinorea,Rinorea sylvatica,Violaceae
49,61,BAR0049,GUSTSU,397,BAR.0.1.41.61,Gustavia,Gustavia superba,Lecythidaceae
50,66,BAR0050,CAPPFR,572,BAR.0.1.41.66,Capparidastrum,Capparidastrum frondosum,Capparaceae
51,81,BAR0051,COCCP1,262,BAR.0.1.41.81,Coccoloba,Coccoloba excelsa,Polygonaceae
52,90,BAR0052,GUSTSU,461,BAR.0.1.41.90,Gustavia,Gustavia superba,Lecythidaceae
53,92,BAR0053,CNESRU,440,BAR.0.1.41.92,Cnestidium,Cnestidium rufescens,Connaraceae
54,109,BAR0054,TET2PA,351,BAR.0.1.41.109,Tetragastris,Tetragastris panamensis,Burseraceae
55,118,BAR0055,FARAOC,773,BAR.0.1.41.118,Faramea,Faramea occidentalis,Rubiaceae
56,119,BAR0056,TET2PA,442,BAR.0.1.41.119,Tetragastris,Tetragastris panamensis,Burseraceae
57,159,BAR0057,TET2PA,583,BAR.0.1.41.159,Tetragastris,Tetragastris panamensis,Burseraceae
58,163,BAR0058,CAPPFR,461,BAR.0.1.41.163,Capparidastrum,Capparidastrum frondosum,Capparaceae
59,135,BAR0059,COCCP1,301,BAR.0.1.43.135,Coccoloba,Coccoloba excelsa,Polygonaceae
60,50,BAR0060,PAULTU,44,BAR.0.1.44.50,Paullinia,Paullinia turbacensis,Sapindaceae
61,64,BAR0061,SWARS1,261,BAR.0.1.44.64,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
62,71,BAR0062,DOLIOL,512,BAR.0.1.44.71,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
63,117,BAR0063,CONNTU,218,BAR.0.1.44.117,Connarus,Connarus turczaninowii,Connaraceae
64,171,BAR0064,FARAOC,867,BAR.0.1.44.171,Faramea,Faramea occidentalis,Rubiaceae
65,175,BAR0065,PROTTE,506,BAR.1.0.14.175,Protium,Protium tenuifolium,Burseraceae
66,154,BAR0066,CAPPFR,249,BAR.1.0.21.154,Capparidastrum,Capparidastrum frondosum,Capparaceae
67,172,BAR0067,CAPPFR,231,BAR.1.0.21.172,Capparidastrum,Capparidastrum frondosum,Capparaceae
68,19,BAR0068,POUTRE,231,BAR.1.0.22.19,Pouteria,Pouteria reticulata,Sapotaceae
69,144,BAR0069,GUSTSU,203,BAR.1.0.22.144,Gustavia,Gustavia superba,Lecythidaceae
70,164,BAR0070,RINOSY,964,BAR.1.0.22.164,Rinorea,Rinorea sylvatica,Violaceae
71,166,BAR0071,GUSTSU,293,BAR.1.0.22.166,Gustavia,Gustavia superba,Lecythidaceae
72,168,BAR0072,FARAOC,451,BAR.1.0.23.168,Faramea,Faramea occidentalis,Rubiaceae
73,162,BAR0073,RINOSY,256,BAR.1.0.24.162,Rinorea,Rinorea sylvatica,Violaceae
74,141,BAR0074,GUSTSU,132,BAR.1.0.32.141,Gustavia,Gustavia superba,Lecythidaceae
75,152,BAR0075,SWARS1,606,BAR.1.0.32.152,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
76,165,BAR0076,GUSTSU,374,BAR.1.0.32.165,Gustavia,Gustavia superba,Lecythidaceae
77,166,BAR0077,RINOSY,272,BAR.1.0.32.166,Rinorea,Rinorea sylvatica,Violaceae
78,174,BAR0078,RINOSY,762,BAR.1.0.32.174,Rinorea,Rinorea sylvatica,Violaceae
79,162,BAR0079,RINOSY,311,BAR.1.0.33.162,Rinorea,Rinorea sylvatica,Violaceae
80,169,BAR0080,SWARS1,713,BAR.1.0.33.169,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
